"abbr_state","county","candidate","votes","percent_won","percent_complete","fips"
"il","hamilton","democrat",1626,41.1,100,17065
"il","hamilton","other",161,4.1,200,34130
"il","hamilton","republican",2170,54.8,100,17065
"il","hancock","democrat",2931,37.6,100,17067
"il","hancock","other",360,4.6,200,34134
"il","hancock","republican",4497,57.7,100,17067
"il","hardin","democrat",863,41.9,100,17069
"il","hardin","other",63,3,200,34138
"il","hardin","republican",1135,55.1,100,17069
"il","henderson","democrat",1403,41,100,17071
"il","henderson","other",198,5.8,200,34142
"il","henderson","republican",1818,53.2,100,17071
"il","henry","democrat",9459,39.5,100,17073
"il","henry","other",1318,5.5,200,34146
"il","henry","republican",13181,55,100,17073
"il","iroquois","democrat",2746,21.4,100,17075
"il","iroquois","other",751,5.8,200,34150
"il","iroquois","republican",9356,72.8,100,17075
"il","jackson","democrat",13720,56.2,100,17077
"il","jackson","other",1716,7,200,34154
"il","jackson","republican",8983,36.8,100,17077
"il","jasper","democrat",1420,28.7,100,17079
"il","jasper","other",214,4.3,200,34158
"il","jasper","republican",3310,66.9,100,17079
"il","jefferson","democrat",6886,41.6,100,17081
"il","jefferson","other",888,5.3,200,34162
"il","jefferson","republican",8775,53,100,17081
"il","jersey","democrat",4226,39.8,100,17083
"il","jersey","other",558,5.3,200,34166
"il","jersey","republican",5829,54.9,100,17083
"il","jo daviess","democrat",4513,40.7,100,17085
"il","jo daviess","other",589,5.3,200,34170
"il","jo daviess","republican",5978,54,100,17085
"il","johnson","democrat",2049,34.6,100,17087
"il","johnson","other",308,5.2,200,34174
"il","johnson","republican",3568,60.2,100,17087
"il","kane","democrat",93092,48.3,100,17089
"il","kane","other",12420,6.5,200,34178
"il","kane","republican",87153,45.2,100,17089
"il","kankakee","democrat",20840,44.9,100,17091
"il","kankakee","other",2764,6,200,34182
"il","kankakee","republican",22797,49.1,100,17091
"il","kendall","democrat",22656,44.8,100,17093
"il","kendall","other",3638,7.2,200,34186
"il","kendall","republican",24313,48,100,17093
"il","knox","democrat",10516,47.9,100,17095
"il","knox","other",1186,5.4,200,34190
"il","knox","republican",10257,46.7,100,17095
"il","la salle","democrat",21773,45.5,100,17099
"il","la salle","other",2980,6.3,200,34198
"il","la salle","republican",23074,48.2,100,17099
"il","lake","democrat",147888,50,100,17097
"il","lake","other",14042,4.7,200,34194
"il","lake","republican",133592,45.2,100,17097
"il","lawrence","democrat",1933,32.9,100,17101
"il","lawrence","other",244,4.2,200,34202
"il","lawrence","republican",3700,63,100,17101
"il","lee","democrat",5562,36.6,100,17103
"il","lee","other",1023,6.7,200,34206
"il","lee","republican",8624,56.7,100,17103
"il","livingston","democrat",3998,26.5,100,17105
"il","livingston","other",950,6.3,200,34210
"il","livingston","republican",10154,67.2,100,17105
"il","logan","democrat",3262,26.7,100,17107
"il","logan","other",719,5.9,200,34214
"il","logan","republican",8217,67.4,100,17107
"il","macon","democrat",18469,39.2,100,17115
"il","macon","other",2618,5.6,200,34230
"il","macon","republican",26030,55.2,100,17115
"il","macoupin","democrat",10100,46.7,100,17117
"il","macoupin","other",1056,4.9,200,34234
"il","macoupin","republican",10450,48.4,100,17117
"il","madison","democrat",63957,50.3,100,17119
"il","madison","other",6588,5.2,200,34238
"il","madison","republican",56495,44.5,100,17119
"il","marion","democrat",6650,40.6,100,17121
"il","marion","other",703,4.3,200,34242
"il","marion","republican",9023,55.1,100,17121
"il","marshall","democrat",1916,32.6,100,17123
"il","marshall","other",382,6.5,200,34246
"il","marshall","republican",3580,60.9,100,17123
"il","mason","democrat",2293,36,100,17125
"il","mason","other",380,5.9,200,34250
"il","mason","republican",3701,58.1,100,17125
"il","massac","democrat",2456,37.7,100,17127
"il","massac","other",330,5,200,34254
"il","massac","republican",3737,57.3,100,17127
"il","mcdonough","democrat",6245,48.5,100,17109
"il","mcdonough","other",729,5.7,200,34218
"il","mcdonough","republican",5906,45.9,100,17109
"il","mchenry","democrat",57923,41.4,100,17111
"il","mchenry","other",10349,7.4,200,34222
"il","mchenry","republican",71688,51.2,100,17111
"il","mclean","democrat",32945,41.4,100,17113
"il","mclean","other",5309,6.7,200,34226
"il","mclean","republican",41363,52,100,17113
"il","menard","democrat",1764,27.6,100,17129
"il","menard","other",352,5.5,200,34258
"il","menard","republican",4277,66.9,100,17129
"il","mercer","democrat",3383,40.7,100,17131
"il","mercer","other",478,5.7,200,34262
"il","mercer","republican",4457,53.6,100,17131
"il","monroe","democrat",7446,39.1,100,17133
"il","monroe","other",715,3.7,200,34266
"il","monroe","republican",10869,57.1,100,17133
"il","montgomery","democrat",5350,42.3,100,17135
"il","montgomery","other",647,5.1,200,34270
"il","montgomery","republican",6649,52.6,100,17135
"il","morgan","democrat",4727,32.4,100,17137
"il","morgan","other",788,5.3,200,34274
"il","morgan","republican",9095,62.3,100,17137
"il","moultrie","democrat",1567,25.3,100,17139
"il","moultrie","other",357,5.8,200,34278
"il","moultrie","republican",4263,68.9,100,17139
"il","ogle","democrat",7623,32,100,17141
"il","ogle","other",1472,6.1,200,34282
"il","ogle","republican",14758,61.9,100,17141
"il","peoria","democrat",35982,46,100,17143
"il","peoria","other",4473,5.8,200,34286
"il","peoria","republican",37766,48.3,100,17143
"il","perry","democrat",4238,44.2,100,17145
"il","perry","other",443,4.6,200,34290
"il","perry","republican",4901,51.1,100,17145
"il","piatt","democrat",2554,28.5,100,17147
"il","piatt","other",471,5.3,200,34294
"il","piatt","republican",5937,66.2,100,17147
"il","pike","democrat",2652,36,100,17149
"il","pike","other",335,4.5,200,34298
"il","pike","republican",4374,59.4,100,17149
"il","pope","democrat",703,34,100,17151
"il","pope","other",84,4.1,200,34302
"il","pope","republican",1279,61.9,100,17151
"il","pulaski","democrat",1231,50.5,100,17153
"il","pulaski","other",70,2.8,200,34306
"il","pulaski","republican",1137,46.6,100,17153
"il","putnam","democrat",1252,41.7,100,17155
"il","putnam","other",168,5.6,200,34310
"il","putnam","republican",1583,52.7,100,17155
"il","randolph","democrat",6092,43.7,100,17157
"il","randolph","other",502,3.6,200,34314
"il","randolph","republican",7344,52.7,100,17157
